name,alcohol,character,class
Chablis 1er Cru Vaillons 2020 Séguinot-Bordet,13.0,1,
Côtes-du-Rhône Blanc 2020 Vidal Fleury,14.0,1,
Domaine Maire 'Heritage' Chardonnay 2018,12.0,1,Chardonnay
Saint Véran 'Haute Cuvée' 2019 Rijckaert F. Rouve,13.0,1,
Collovray and Terrier 'Reserve' Saint Véran 2018/19,13.5,1,
Reyneke 'Vinehugger' Organic Chenin Blanc 2020/21,13.5,1,
Son of a Bull Riesling 2019,12.0,1,Riesling
Barista Chardonnay 2020/21,13.5,1,Chardonnay
Nero Oro Grillo Appassimento 2019/20,13.5,1,
Paolo Leo 'Renèe Bianco Organic' 2019,12.5,1,
Routes Catalanes Blanc 2019/20,12.5,1,
Creation Chardonnay 2020/21,14.0,1,Chardonnay
Weingut Bründlmayer 'Langenloiser Alte Reben' Grüner Veltliner 2019,14.5,1,
Definition Sauternes 2014 Half Bottle,13.0,8,
Philippe le Hardi 'Les Platanes d'Henri IV' 2018/19,13.5,none,
Girardin Père et Fils Puligny-Montrachet Vieilles Vignes 2017,13.0,none,
Laurent-Perrier ‘La Cuvee’ Champagne with 2 glasses,12.0,1,
Piper-Heidsieck 'Cuvée Brut' Champagne,12.0,2,
Viña Albali Sauvignon Blanc 0.5% 2019/20,0.5,1,Sauvignon Blanc
Saint Clair ‘Pioneer Block 5 Bull Block’ Pinot Gris 2020,12.5,3,Pinot Gris
Alluria Pinot Grigio Boxed Wine 2.25L,12.0,1,Pinot Grigio
Cattier Premier Cru Brut Champagne,12.5,2,
Villa Tucci Bianco,12.0,2,
Famille Brocard 'Bougros' Chablis Grand Cru 2019,14.0,2,
Edouard Delaunay Puligny-Montrachet 2019,14.0,2,
Fincher and Co. ‘Wairau Valley’ Sauvignon Blanc 2020/21,12.5,1,Sauvignon Blanc
J. Moreau et Fils ‘Le Sans Bois' Chardonnay 2020,12.0,2,Chardonnay
Cloudy Bay Te Koko 2019,14.0,1,
Acacia Road Sauvignon Blanc 2019/20,12.5,1,Sauvignon Blanc
Château La Rame 2017/18 Ste-Croix-du-Mont Half Bottle,15.0,8,
Bourgogne Côte Chalonnaise 2020 La Buxynoise,13.0,1,
Saint-Véran Les Vignerons des Grandes Vignes 2019/20,13.0,1,
Vouvray Domaine des Aubuisières Cuvée de Perruches 2019/20,13.5,2,
Kuhlmann-Platz Riesling 2020 Cave de Hunawihr,13.0,2,Riesling
Rioja Blanco 2020 Muga,13.5,1,
Chateau De Crezancy 2019/20,13.5,1,
