name,alcohol,character,class,beverage
Collovray and Terrier 'Reserve' Saint Véran 2018/19,13.5,1,,1
Reyneke 'Vinehugger' Organic Chenin Blanc 2020/21,13.5,1,Chenin Blanc,1
Son of a Bull Riesling 2019,12.0,1,Riesling,1
Barista Chardonnay 2020/21,13.5,1,Chardonnay,1
Nero Oro Grillo Appassimento 2019/20,13.5,1,,1
Paolo Leo 'Renèe Bianco Organic' 2019,12.5,1,,1
Routes Catalanes Blanc 2019/20,12.5,1,,1
Creation Chardonnay 2020/21,14.0,1,Chardonnay,1
Weingut Bründlmayer 'Langenloiser Alte Reben' Grüner Veltliner 2019,14.5,1,,1
Definition Sauternes 2014 Half Bottle,13.0,8,,1
Philippe le Hardi 'Les Platanes d'Henri IV' 2018/19,13.5,none,,1
Girardin Père et Fils Puligny-Montrachet Vieilles Vignes 2017,13.0,none,,1
Laurent-Perrier ‘La Cuvee’ Champagne with 2 glasses,12.0,1,,1
Piper-Heidsieck 'Cuvée Brut' Champagne,12.0,2,,1
Saint Clair ‘Pioneer Block 5 Bull Block’ Pinot Gris 2020,12.5,3,Pinot Gris,1
Alluria Pinot Grigio Boxed Wine 2.25L,12.0,1,Pinot Grigio,1
Cattier Premier Cru Brut Champagne,12.5,2,,1
Villa Tucci Bianco,12.0,2,,1
Famille Brocard 'Bougros' Chablis Grand Cru 2019,14.0,2,,1
Edouard Delaunay Puligny-Montrachet 2019,14.0,2,,1
Fincher and Co. ‘Wairau Valley’ Sauvignon Blanc 2020/21,12.5,1,Sauvignon Blanc,1
J. Moreau et Fils ‘Le Sans Bois' Chardonnay 2020,12.0,2,Chardonnay,1
Pasqua 'Romeo and Juliet' Prosecco DOC Brut,11.0,1,,1
Definition Viognier 2019/20,14.0,1,,1
Winzer Krems Grüner Veltliner 2020,12.5,1,,1
Viña Albali Sauvignon Blanc 0.5% 2019/20,0.5,1,Sauvignon Blanc,1
Wolf Blass Yellow Label Chardonnay 2020/21,13.5,1,Chardonnay,1
La Gioiosa Prosecco DOC,11.0,1,,1
Nals Margreid 'Stella Alpina' Pinot Grigio 2019/20,13.5,1,Pinot Grigio,1
Errazuriz Single Vineyard Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc,1
Château La Rame 2017/18 Ste-Croix-du-Mont Half Bottle,15.0,8,,1
Bourgogne Côte Chalonnaise 2020 La Buxynoise,13.0,1,,1
Saint-Véran Les Vignerons des Grandes Vignes 2019/20,13.0,1,,1
Vouvray Domaine des Aubuisières Cuvée de Perruches 2019/20,13.5,2,,1
Jaboulet Viognier 2019/20,13.5,1,,1
Kuhlmann-Platz Riesling 2020 Cave de Hunawihr,13.0,2,Riesling,1
Rioja Blanco 2020 Muga,13.5,1,Rioja,1
Chateau De Crezancy 2019/20,13.5,1,,1
Domaine Roger Neveu 'Cóte des Embouffants' Sancerre 2019/20,13.5,1,Sancerre,1
Bienbebido Pulpo Albariño 2020,11.0,1,Albariño,1
Drappier Premier Cru Champagne,12.0,1,,1
Bollinger Special Cuvée Champagne,12.0,1,,1
Pol Roger 2012/13 Champagne,12.5,1,,1
Majestic Loves Fizz,11.0,1,,1
Bouvet Ladubay Brut,12.5,1,,1
Chapel Down Brut,12.0,1,,1
Shaw + Smith 'M3' Chardonnay 2019/20,13.5,1,Chardonnay,1
St Clair 'Wairau Reserve' Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc,1
Catena Chardonnay 2019/20,13.5,1,Chardonnay,1
Viñalba Selección Torrontés 2020,13.5,1,,1
Vasse Felix 'Filius' Chardonnay 2020,13.0,1,Chardonnay,1
Nettie Viognier 2019,13.0,1,,1
Morandé 'One to One' Gewürztraminer 2020/21,13.5,1,,1
Apostoles 30-Year-Old Palo Cortado Sherry Gonzalez Byass Half Bottle,20.0,3,,1
Noe 30-Year-Old Pedro Ximenez Sherry Gonzalez Byass Half Bottle,15.5,8,,1
Kendermanns Riesling Kabinett 2020,8.5,2,Riesling,1
Porta 6 Vinho Verde 2019/20,9.5,1,,1
Waimea Estates Albariño 2020/21,13.0,1,Albariño,1
Le Bois Doré Chenin Blanc 2019/20,13.0,1,Chenin Blanc,1
Domaine des Patureaux Pouilly Fume 2019/20,14.0,1,,1
Forrest Wines 'The Doctors'' Sauvignon Blanc 2020/21,9.5,1,Sauvignon Blanc,1
Framingham 'Classic' Riesling 2020/21,12.5,3,Riesling,1
Framingham 'Nobody's Hero' Sauvignon Blanc 2019/20,13.0,1,Sauvignon Blanc,1
Mt. Difficulty 'Roaring Meg' Pinot Gris 2020,14.0,1,Pinot Gris,1
Stag's Leap 'Hands of Time' Chardonnay 2018/19,14.5,1,Chardonnay,1
Domaine Jean Perrier and Fils 'Altus' 2020,11.5,1,,1
Definition Rioja Blanco 2020,13.5,1,Rioja,1
Lugana DOC 2020 Nunzio Ghiraldi,13.5,1,,1
Eccelsa Vermentino 2019/20,13.5,1,,1
Vernaccia di San Gimignano 2019/20 Macarini,12.5,1,,1
Definition Mosel Riesling 2019/20,10.5,5,Riesling,1
Domaine Michaut Frères 'Le Jardin du Curé' Chablis 2020,13.0,1,,1
Doudet Naudin Chablis Grand Cru 2019,13.0,1,,1
The Whale Cove Sauvignon Blanc,12.5,1,Sauvignon Blanc,1
Dr. Hermann 'Ürziger Würzgarten' Riesling Auslese 2006,8.5,6,Riesling,1
Girardin Père et Fils ‘Vieilles Vignes’ Meursault 2017,13.0,1,,1
Cantina di Monteforte 'Saveroni' Garganega-Pinot Grigio 2020,12.5,2,Pinot Grigio,1
The Ned ‘Skyscraper’ Sauvignon Blanc 2021,13.5,1,Sauvignon Blanc,1
Lapostolle Cuvée Alexandre Chardonnay 2019,14.5,2,Chardonnay,1
Definition Chenin Blanc 2020/21,14.0,1,Chenin Blanc,1
Men in White Coats Viognier 2020/21,13.5,1,,1
Olivier Tricon ‘Léon Valleret’ Chablis 2020,12.5,2,,1
Aqualta Prosecco DOC,11.0,1,,1
Oyster Bay Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc,1
Lyrarakis Assyrtiko 2020/21,13.5,1,,1
Santa Rita '120' Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc,1
Nicolas Potel Bourgogne Chardonnay 2019/20,13.0,1,Chardonnay,1
Jean Sablenay Muscadet 2019/20,11.5,1,,1
Guigal Condrieu 2018,14.5,2,,1
Verdicchio dei Castelli di Jesi 2020,12.5,1,,1
Ammazza Pinot Grigio 2020,12.0,1,Pinot Grigio,1
Haut Poitou Sauvignon Blanc 2020 Pierre Sauvion,12.5,1,Sauvignon Blanc,1
Louis Latour 'Grand Ardèche' Chardonnay 2018/19,13.5,1,Chardonnay,1
Domaine Begude 'L'Etoile' Chardonnay 2019/20,13.5,1,Chardonnay,1
Casal de Ventozela 2020 Vinho Verde,13.5,1,,1
Casal de Ventozela Alvarinho 2020,13.5,1,,1
Domaine de Saint Ferréol Viognier 2019/20,13.5,1,,1
Château de Pennautier 'Marquis de Pennautier' Chardonnay-Viognier 2020/21,13.0,1,Chardonnay,1
Laurent-Perrier La Cuvée Champagne Magnum,12.0,1,,1
Moët et Chandon 'Brut Impérial' Champagne,12.0,1,,1
Veuve Clicquot 2012 Champagne,12.0,1,,1
Pol Roger 'Réserve' Champagne,12.5,1,,1
Dom Ruinart 2009 Champagne,12.5,1,,1
Nicolas Feuillatte Brut Champagne,12.0,1,,1
Royal Tokaji 5 Puttonyos 2016 Hungary 50cl,11.5,8,Tokaji,1
Balfour '1503' Brut,12.0,1,,1
Jim Barry 'Lodge Hill' Riesling 2020,12.5,1,Riesling,1
Saint Clair 'Pioneer Block 25' Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc,1
Au Bon Climat Chardonnay 2019,13.5,1,Chardonnay,1
Villa Maria 'Cellar Selection' Sauvignon Blanc 2020/21,14.0,1,Sauvignon Blanc,1
The King's Legacy Chardonnay 2019,13.5,1,Chardonnay,1
Kangarilla Road Chardonnay 2020,13.0,1,Chardonnay,1
Rustenberg Sauvignon Blanc 2020,13.5,1,Sauvignon Blanc,1
Essensia Orange Muscat 2018/19 Andrew Quady Half Bottle,15.0,7,Muscat,1
Luis Felipe Edwards Gran Reserva Chardonnay 2020/21,13.5,1,Chardonnay,1
Gonzalez Byass 'Tio Pepe' Fino Sherry,15.0,1,,1
Pedro's Almacenista Selection Palo Cortado Sherry,20.0,1,,1
10 year old Malmsey Henriques and Henriques Madeira 50cl,20.0,7,,1
Pedro's Almacenista Selection Amontillado Sherry,19.0,1,,1
Escarpment Chardonnay 2018/19,13.5,1,Chardonnay,1
Château de Chassagne-Montrachet 2018/19,13.0,1,,1
Dr Loosen ‘Graacher Himmelreich’ Riesling Spätlese 2019/20,9.5,5,Riesling,1
Alluria Organic Pinot Grigio 2020,12.0,1,Pinot Grigio,1
Winemaker Series Godello 2019/20,13.0,1,,1
Varzea Vinho Verde 2020,9.5,1,,1
Smith and Wright Chardonnay 2019/20,13.0,1,Chardonnay,1
Ayala 'Le Blanc de Blancs' Champagne 2014/15,12.0,1,,1
Thierry Delaunay Manoir Touraine Sauvignon Blanc 2020,13.0,1,Sauvignon Blanc,1
Freixenet Prosecco DOC,11.0,1,,1
Freixenet 'Cordon Negro' Brut Cava,11.5,1,,1
Cave de Lugny 'Reserve' Mâcon-Chardonnay 2019/20,13.0,1,Chardonnay,1
Chassagne-Montrachet Blanc 2019 Château de la Maltroye,14.5,1,,1
Domaine Trouillet Pouilly-Fuissé 2019/20,13.5,1,,1
Talbott 'Kali Hart' Chardonnay 2018,14.5,1,Chardonnay,1
St Cosme 'Micro Cosme' Sauvignon-Viognier 2019/20,12.5,1,,1
Alphonse Mellot 'Les Demoiselles' Organic Sancerre 2018/19,14.0,1,Sancerre,1
Baron Edmond de Rothschild 'Rimapere' Sauvignon Blanc 2020,12.5,1,Sauvignon Blanc,1
Winzer Krems 'Orange' Gruner Veltliner 2019/20,13.0,1,,1
Domaine Skouras Assyrtiko 2019/20,13.5,none,,1
Gabriëlskloof 'Elodie' Chenin Blanc 2019/20,13.5,2,Chenin Blanc,1
Ropiteau Frères Chassagne-Montrachet 2018/19,14.0,none,,1
Famille Brocard Chablis Grand Cru 2013,13.0,none,,1
Domaine Joly Puligny-Montrachet 2019/20,13.0,none,,1
Gonzalez Byass Solera Cream Sherry,18.0,6,,1
Castello di Farnetella Vin Santo 2015,15.0,7,Vin Santo,1
Majestic Vibrant and Fresh 2020,12.5,2,,1
Saint Clair 'Pioneer Block' Grüner Veltliner 2020,13.0,1,,1
Famille Hugel ‘Classic’ Riesling 2019,13.0,1,Riesling,1
